08.26.2016 LIVE w/ DDP ,DDP,69,3
06.10.2016 LIVE w/ DDP ,DDP,69,3
08.17.2021 LIVE w DDP ,DDP,70,3
03.25.2016 LIVE w/ DDP ,DDP,70,3
01.18.2017 LIVE w/ DDP ,DDP,71,3
03.14.2016 LIVE w/ DDP ,DDP,71,3
02.26.2016 LIVE w/ DDP ,DDP,71,3
Slow Burn & Exploding ,DDP,72,3
01.04.2016 LIVE w/ DDP ,DDP,72,3
06.17.2016 LIVE w/ DDP ,DDP,73,3
05.23.2016 LIVE w/ DDP ,DDP,79,3
05.09.2016 LIVE w/ DDP ,DDP,79,3
02.15.2022 LIVE w DDP ,DDP ,58,3
05.06.2016 LIVE w/ Dylan ,Dylan ,62,3
03.03.2020 LIVE w/ Garett ,Garett Sakahara,36,3
04.23.2019 LIVE w/ Garett ,Garett Sakahara,38,3
Get Strong with G-Money! ,Garett Sakahara,49,3
06.09.2020 LIVE w/ Garett ,Garett Sakahara,56,3
12.11.2018 LIVE w/ Garett ,Garett Sakahara,66,3
08.28.2018 LIVE w/ Garett ,Garett Sakahara,69,3
08.07.2018 LIVE w/ Haydn ,Haydn Walden,28,3
09.25.2018 LIVE w/ Haydn ,Haydn Walden,29,3
08.01.2017 LIVE w/ Haydn ,Haydn Walden,31,3
08.27.2019 LIVE w/ Haydn ,Haydn Walden,33,3
06.25.2019 LIVE w/ Haydn ,Haydn Walden,33,3
Alligator Planks ,Haydn Walden,37,3
Gator Sphinx Mania ,Haydn Walden,38,3
Gator Country ,Haydn Walden,38,3
02.06.2018 LIVE w/ Haydn ,Haydn Walden,38,3
07.16.2019 LIVE w/ Haydn ,Haydn Walden,41,3
09.04.2018 LIVE w/ Haydn ,Haydn Walden,43,3
02.27.2018 LIVE w/ Haydn ,Haydn Walden,46,3
09.12.2017 LIVE w/ Haydn ,Haydn Walden,52,3
05.23.2017 LIVE w/ Haydn ,Haydn Walden,53,3
04.03.2018 LIVE w/ Haydn ,Haydn Walden,56,3
05.01.2018 LIVE w/ Haydn ,Haydn Walden,59,3
02.20.2018 LIVE w/ Haydn ,Haydn Walden,59,3
07.29.2016 LIVE w/ Haydn ,Haydn Walden,61,3
05.03.2022 LIVE w Jen ,Jen ,22,3
Chillin' Light ,Jim Mabes,31,3
07.12.2016 LIVE w/ Jim ,Jim Mabes,60,3
09.26.2016 LIVE w/ Jim ,Jim Mabes,63,3
02.22.2022 LIVE w Josh ,Josh ,37,3
05.17.2022 LIVE w Josh ,Josh ,52,3
06.22.2021 LIVE w Josh ,Josh ,64,3
08.16.2022 LIVE w Josh ,Josh ,65,3
11.12.2019 LIVE w/ King ,King Warren,34,3
10.29.2019 LIVE w/ King ,King Warren,36,3
10.08.2019 LIVE w/ King ,King Warren,39,3
03.10.2020 LIVE w/ King ,King Warren,65,3
10.01.2019 LIVE w/ Lexy ,Lexy ,54,3
01.07.2020 LIVE w/ Paal ,Paal ,39,3
12.31.2019 LIVE w/ Paal ,Paal ,60,3
05.07.2019 LIVE w/ Pat ,Pat McDermott,50,3
09.03.2019 LIVE w/ Pat ,Pat McDermott,63,3
12.04.2018 LIVE w/ Pat ,Pat McDermott,63,3
03.26.2019 LIVE w/ Pat ,Pat McDermott,65,3
03.05.2019 LIVE w/ Pat ,Pat McDermott,66,3
Pilates II w Payge ,Payge McMahon,26,3
DDPY Pilates ,Payge McMahon,31,3
10.13.2020 LIVE w/ Payge ,Payge McMahon,34,3
06.15.2021 LIVE w/ Payge ,Payge McMahon,52,3
09.13.2022 LIVE w Payge ,Payge McMahon,53,3
08.03.2021 LIVE w Payge ,Payge McMahon,56,3
06.29.2021 LIVE w/ Payge ,Payge McMahon,56,3
10.27.2020 LIVE w Payge ,Payge McMahon,56,3
04.06.2021 LIVE w/ Payge ,Payge McMahon,58,3
02.16.2021 LIVE w/ Payge ,Payge McMahon,59,3
04.05.2022 LIVE w Ricky ,Ricky ,41,3
03.23.2021 LIVE w Ricky Tran ,Ricky Tran ,52,3
05.18.2021 LIVE w/ Roman ,Roman ,40,3
05.25.2021 LIVE w Roman ,Roman ,44,3
04.11.2016 LIVE w/ Stevie ,Stevie Richards,61,3
05.20.2016 LIVE w/ Stevie ,Stevie Richards,69,3
04.08.2016 LIVE w/ Stevie ,Stevie Richards,74,3
03.15.2022 LIVE w Travis ,Travis ,43,3
Total body in 30 ,Yoga Doc,33,3
Y.D. Get's Weird ,Yoga Doc,52,3
Get Twisted & Split ,Yoga Doc,71,3
04.22.2016 LIVE w/ Yoga Doc ,Yoga Doc,72,3
02.13.21 LIVE w/ Yoga Doc ,Yoga Doc,81,3
Kickin' Old School ,Yoga Doc,81,3
Core Cracker ,Christina Russell,39,4
12.24.2019 LIVE w/ Christina & Elves ,Christina Russell,43,4
10.15.2019 LIVE w/ Christina ,Christina Russell,58,4
Double Black & Diamond Cutter Hybrid ,Christina Russell,62,4
10.24.2017 LIVE w/ Christina ,Christina Russell,64,4
"Sweatin' Swearin', Shoulders & Legs Flailin' ",Christina Russell,64,4
05.02.2017 LIVE w/ Christina ,Christina Russell,65,4
Hip Opener ,DDP,23,4
1 on 1 with Haydn - Advanced ,DDP,29,4
Shoulder Burn ,DDP,29,4
10.12.2021 LIVE w DDP ,DDP,32,4
10.05.2021 LIVE w DDP ,DDP,32,4
The Black Crow Workout ,DDP,32,4
JACKED Back & Biceps 02 ,DDP,33,4
JACKED Total Body 14 Short ,DDP,36,4
12.19.2017 LIVE w/ DDP ,DDP,36,4
"LIVE with Dallas, Steve and Zach Gowen ",DDP,38,4
"Hips, Back, and Knees Workout ",DDP,39,4
Strength Builder Classic ,DDP,41,4
Jacked Chest & Triceps 03 ,DDP,42,4
DDPY 4 KIDZ - Extreme ,DDP,43,4
JACKED Shoulders & Traps 01 ,DDP,51,4
Tomahawk - Warriors Purpose ,DDP,52,4
Diamond Cutter Classic ,DDP,53,4
01.08.2019 LIVE w/ DDP ,DDP,56,4
Diamond Cutter 2.0 ,DDP,57,4
10.31.2017 LIVE w/ DDP ,DDP,57,4
Roadtrip Edition: Advanced ,DDP,59,4
02.15.2017 LIVE w/ DDP ,DDP,59,4
JACKED Total Body 07 ,DDP,61,4
Virginia Cavaliers ,DDP,62,4
08.10.2021 LIVE w DDP ,DDP,62,4
JACKED Total Body 03 ,DDP,64,4
06.05.2018 LIVE w/ DDP ,DDP,64,4
JACKED Total Body 08 ,DDP,65,4
01.04.2017 LIVE w/ DDP ,DDP,65,4
Double Black Diamond 2.0 ,DDP,66,4
Jacked Total Body 14 Long ,DDP,67,4
Double Black Diamond Classic ,DDP,69,4
08.15.2016 LIVE w/ DDP ,DDP,70,4
JACKED Legs & Total Body 01 ,DDP,71,4
08.29.2016 LIVE w/ DDP ,DDP,72,4
08.08.2017 LIVE w/ DDP + John Morrison ,DDP,76,4
01.15.2016 LIVE w/ DDP ,DDP,79,4
12.12.2017 LIVE w/ DDP ,DDP ,38,4
07.11.2017 LIVE w/ Haydn ,Haydn Walden,30,4
08.02.2022 LIVE w Haydn ,Haydn Walden,31,4
08.13.2019 LIVE w/ Haydn ,Haydn Walden,37,4
09.26.2017 LIVE w/ Haydn ,Haydn Walden,38,4
08.15.2017 LIVE w/ Haydn ,Haydn Walden,43,4
Harrier Jet ,Haydn Walden,49,4
09.05.2017 LIVE w/ Haydn ,Haydn Walden,57,4
04.16.2019 LIVE w/ Haydn ,Haydn Walden,64,4
08.06.2019 LIVE w/ Haydn ,Haydn Walden,66,4
03.12.2019 LIVE w/ Haydn ,Haydn Walden,66,4
10.16.2018 LIVE w/ Haydn ,Haydn Walden,69,4
Hard & Heavy Technical Package ,Haydn Walden,70,4
03.29.2022 LIVE w Josh ,Josh ,31,4
08.31.2021 LIVE w Payge ,Payge McMahon,38,4
